NIT,nombre,usuarios
104332181-7,Escuela de Pradera Alta 001,17
863794026-9,Empresa de Servicios de Bosque Real 002,80
351161559-9,Hospital de Santa Lucía 003,374
781618495-1,Escuela de Puerto Azul 004,361
103413164-6,Fundación de Cerro Largo 005,84
553419283-4,Universidad de Fuente Hermosa 006,195
483503056-4,Hospital de Río Claro 007,109
953767242-5,Instituto de Bosque Real 008,383
969653287-4,Gobernación de Santa Lucía 009,441
122691669-3,Fundación de Bosque Real 010,498
801845146-9,Universidad de Fuente Hermosa 011,2
482814893-3,Universidad de Cerro Largo 012,391
288095701-8,Comisión de Cerro Largo 013,450
430391171-8,Dirección de Monte Alto 014,66
782489638-5,Dirección de Puerto Azul 015,366
465787133-6,Gobernación de Nueva Esperanza 016,11
983930103-7,Gobernación de Santa Lucía 017,441
518347382-8,Oficina Central de Cascada 018,125
763116566-4,Fundación de Santa Lucía 019,345
106513338-0,Fundación de Monte Alto 020,217
247317810-8,Agencia Regional de Villa Verde 021,497
132677360-1,Universidad de Costa Serena 022,2
647468723-3,Hospital de Puerto Azul 023,496
820812191-8,Agencia Regional de Valle del Sol 024,207
193990916-9,Agencia Regional de Nueva Esperanza 025,479
435346247-6,Empresa de Servicios de Río Claro 026,5
799118384-0,Universidad de Cerro Largo 027,452
135427849-1,Dirección de Villa Verde 028,342
841241182-7,Hospital de San Gabriel 029,310
353487401-1,Agencia Regional de Pradera Alta 030,425
400524278-0,Oficina Central de Pradera Alta 031,288
011280598-2,Universidad de Santa Lucía 032,158
505331586-6,Escuela de Monte Alto 033,474
322602563-7,Hospital de Loma Bella 034,404
160733754-1,Centro Cultural de Valle del Sol 035,115
850142940-1,Gobernación de Pradera Alta 036,177
569816934-1,Alcaldía de Pradera Alta 037,1
883561595-0,Agencia Regional de Pueblo Nuevo 038,369
484656482-9,Instituto de Pradera Alta 039,341
629946804-7,Hospital de Puerto Azul 040,221
995777387-1,Dirección de Loma Bella 041,338
148951343-9,Dirección de Puerto Azul 042,76
003791769-9,Oficina Central de Costa Serena 043,254
632016328-3,Fundación de Santa Lucía 044,286
317278895-9,Dirección de Fuente Hermosa 045,314
868727743-4,Centro Cultural de Bosque Real 046,393
873471434-0,Empresa de Servicios de Nueva Esperanza 047,458
812236231-4,Corporación de Pradera Alta 048,170
876036690-6,Centro Cultural de Costa Serena 049,245
467065627-1,Comisión de Monte Alto 050,319
806990162-5,Centro Cultural de Fuente Hermosa 051,94
641708053-6,Agencia Regional de Río Claro 052,400
193745299-3,Oficina Central de Pueblo Nuevo 053,399
241904966-4,Oficina Central de Puerto Azul 054,39
931491905-3,Consorcio de Pradera Alta 055,339
518506716-7,Empresa de Servicios de Fuente Hermosa 056,363
262849877-8,Corporación de Bosque Real 057,166
314737996-3,Empresa de Servicios de Villa Verde 058,254
527354549-2,Oficina Central de Bosque Real 059,285
770143634-7,Agencia Regional de Cerro Largo 060,243
885685574-6,Hospital de Bosque Real 061,119
135182337-7,Hospital de San Gabriel 062,52
343524082-8,Hospital de Santa Lucía 063,499
752047116-7,Fundación de Río Claro 064,296
999386774-3,Centro Cultural de Pradera Alta 065,157
990913341-7,Universidad de Valle del Sol 066,89
812067974-2,Alcaldía de Valle del Sol 067,148
471349361-2,Consorcio de Valle del Sol 068,332
242102499-8,Comisión de San Gabriel 069,225
174648877-6,Gobernación de Santa Lucía 070,456
659401399-5,Alcaldía de Bosque Real 071,296
717565512-5,Empresa de Servicios de Pradera Alta 072,356
746807154-7,Empresa de Servicios de Pueblo Nuevo 073,497
680876038-6,Empresa de Servicios de Cascada 074,321
703482477-7,Gobernación de Villa Verde 075,499
932480861-4,Instituto de Pueblo Nuevo 076,237
127484677-3,Instituto de Fuente Hermosa 077,283
263982146-4,Empresa de Servicios de Bosque Real 078,421
588675339-1,Corporación de Valle del Sol 079,439
605766270-4,Universidad de Nueva Esperanza 080,446
171870262-6,Gobernación de Cascada 081,401
459615865-1,Agencia Regional de Cascada 082,447
809134316-2,Gobernación de Pueblo Nuevo 083,228
240050455-2,Corporación de Monte Alto 084,126
869222196-0,Escuela de Valle del Sol 085,255
923747407-9,Comisión de San Gabriel 086,347
821759464-0,Fundación de San Gabriel 087,102
671369594-2,Oficina Central de San Gabriel 088,12
640909743-9,Escuela de Cerro Largo 089,113
394210470-1,Escuela de Cerro Largo 090,375
214562328-8,Comisión de Cerro Largo 091,272
842474517-4,Gobernación de Monte Alto 092,387
368516048-4,Gobernación de Fuente Hermosa 093,189
496513709-5,Comisión de Nueva Esperanza 094,469
931746120-5,Alcaldía de San Gabriel 095,253
113826758-1,Corporación de Monte Alto 096,454
617964053-5,Fundación de Fuente Hermosa 097,487
351585064-5,Instituto de Pueblo Nuevo 098,486
713900532-5,Dirección de Puerto Azul 099,36
839335290-1,Hospital de Monte Alto 100,67
842102053-3,Escuela de Nueva Esperanza 101,9
240268117-5,Fundación de Cerro Largo 102,263
917839084-7,Fundación de Villa Verde 103,32
766177115-8,Escuela de Monte Alto 104,34
249985698-0,Hospital de Fuente Hermosa 105,259
961183673-8,Corporación de Nueva Esperanza 106,424
766156545-1,Universidad de Cascada 107,35
111615280-9,Escuela de Nueva Esperanza 108,344
165604945-7,Gobernación de Puerto Azul 109,80
731585149-0,Instituto de Pradera Alta 110,433
899809402-3,Hospital de San Gabriel 111,472
550229612-8,Oficina Central de Villa Verde 112,47
836675254-3,Oficina Central de Nueva Esperanza 113,398
991022901-1,Hospital de Fuente Hermosa 114,339
679764381-3,Empresa de Servicios de Pradera Alta 115,57
497840369-1,Alcaldía de Villa Verde 116,105
432445107-7,Oficina Central de Pradera Alta 117,90
268388516-7,Centro Cultural de Santa Lucía 118,224
605297516-8,Centro Cultural de Pueblo Nuevo 119,125
696816453-1,Empresa de Servicios de Loma Bella 120,40
818835523-1,Gobernación de Monte Alto 121,132
329212779-2,Dirección de Fuente Hermosa 122,349
995527177-8,Agencia Regional de San Gabriel 123,408
490581477-1,Alcaldía de Santa Lucía 124,189
411998679-4,Consorcio de Santa Lucía 125,231
935978207-7,Gobernación de Nueva Esperanza 126,366
182037788-6,Escuela de Loma Bella 127,187
546659051-6,Empresa de Servicios de Pueblo Nuevo 128,286
644925192-2,Comisión de Cerro Largo 129,159
629148652-0,Agencia Regional de Río Claro 130,331
685054235-1,Dirección de Cascada 131,99
322141888-6,Alcaldía de Nueva Esperanza 132,449
929622292-3,Oficina Central de Fuente Hermosa 133,23
653794738-2,Instituto de San Gabriel 134,495
735977468-2,Consorcio de Pradera Alta 135,495
239240758-0,Comisión de Pueblo Nuevo 136,365
814124782-7,Centro Cultural de Pradera Alta 137,47
375060685-2,Instituto de Costa Serena 138,42
530515220-8,Hospital de Cascada 139,357
277901043-9,Centro Cultural de Monte Alto 140,281
986143410-8,Instituto de Pradera Alta 141,328
971179808-6,Escuela de Valle del Sol 142,368
246095396-1,Universidad de Río Claro 143,269
518888806-1,Centro Cultural de Cascada 144,23
654051531-0,Dirección de Nueva Esperanza 145,69
058527722-3,Dirección de Fuente Hermosa 146,19
430305486-6,Centro Cultural de Cascada 147,130
676527758-1,Hospital de Río Claro 148,373
616928451-7,Gobernación de Nueva Esperanza 149,339
447962757-6,Alcaldía de Cerro Largo 150,315
640165820-3,Universidad de Fuente Hermosa 151,18
213556909-9,Universidad de Fuente Hermosa 152,486
557192856-1,Empresa de Servicios de Bosque Real 153,128
102786814-1,Dirección de Bosque Real 154,361
739473121-3,Fundación de Loma Bella 155,461
715518844-8,Centro Cultural de Loma Bella 156,365
258313237-9,Alcaldía de Cerro Largo 157,284
957829114-2,Corporación de Cascada 158,270
669125177-1,Agencia Regional de Cerro Largo 159,66
892268018-1,Universidad de San Gabriel 160,85
253584143-9,Agencia Regional de Bosque Real 161,65
498182992-9,Universidad de Nueva Esperanza 162,432
900109439-4,Corporación de Villa Verde 163,255
844736471-7,Oficina Central de Santa Lucía 164,81
767735925-5,Centro Cultural de Nueva Esperanza 165,376
562588153-1,Fundación de Pueblo Nuevo 166,137
732104696-9,Instituto de Loma Bella 167,417
595327877-6,Comisión de San Gabriel 168,255
016873395-8,Hospital de Cascada 169,306
748016245-1,Dirección de Costa Serena 170,188
060983584-5,Consorcio de Fuente Hermosa 171,392
849912165-0,Dirección de Nueva Esperanza 172,286
523986800-4,Alcaldía de Monte Alto 173,366
578729825-7,Comisión de Nueva Esperanza 174,84
694958887-6,Oficina Central de San Gabriel 175,244
993097289-0,Dirección de Costa Serena 176,76
309130756-8,Universidad de Pradera Alta 177,354
368970283-4,Consorcio de Nueva Esperanza 178,340
786527858-7,Empresa de Servicios de Bosque Real 179,313
733484344-4,Oficina Central de Puerto Azul 180,354
757584419-4,Agencia Regional de Costa Serena 181,459
652404157-8,Agencia Regional de Bosque Real 182,383
733848421-7,Escuela de Valle del Sol 183,125
083301657-2,Dirección de Monte Alto 184,3
826773454-3,Agencia Regional de Santa Lucía 185,465
193802620-1,Centro Cultural de Costa Serena 186,404
724004991-9,Comisión de Nueva Esperanza 187,146
788728743-9,Dirección de Pueblo Nuevo 188,170
274205493-3,Universidad de Costa Serena 189,424
685161227-0,Empresa de Servicios de Valle del Sol 190,4
463745499-9,Alcaldía de Bosque Real 191,335
530174268-6,Comisión de San Gabriel 192,354
145933272-7,Fundación de Cerro Largo 193,213
878339187-0,Consorcio de Cerro Largo 194,40
910883982-7,Universidad de Nueva Esperanza 195,438
871397187-2,Dirección de Santa Lucía 196,233
286790874-7,Oficina Central de Villa Verde 197,203
403910651-1,Consorcio de Santa Lucía 198,479
170462265-4,Comisión de Costa Serena 199,230
661825128-3,Corporación de Monte Alto 200,373
300478686-2,Centro Cultural de Valle del Sol 201,127
752431069-5,Dirección de Villa Verde 202,124
311907903-8,Oficina Central de Santa Lucía 203,206
738302843-6,Centro Cultural de Nueva Esperanza 204,296
953428364-1,Hospital de Santa Lucía 205,286
926870568-2,Empresa de Servicios de Pradera Alta 206,210
246287334-1,Centro Cultural de Monte Alto 207,413
708668826-2,Instituto de Bosque Real 208,105
517518304-4,Corporación de Santa Lucía 209,448
139837354-1,Comisión de Villa Verde 210,109
317393638-4,Empresa de Servicios de San Gabriel 211,195
785445877-0,Gobernación de Cascada 212,390
535560932-2,Alcaldía de Bosque Real 213,284
996423536-5,Escuela de Valle del Sol 214,256
854777252-2,Universidad de Cascada 215,95
808010062-0,Centro Cultural de Valle del Sol 216,35
203875099-1,Comisión de Cascada 217,338
700886008-1,Oficina Central de Bosque Real 218,275
408621182-7,Instituto de Puerto Azul 219,318
845461567-7,Escuela de Valle del Sol 220,357
341016668-7,Fundación de Santa Lucía 221,327
339740148-6,Escuela de Santa Lucía 222,92
503926142-7,Escuela de Valle del Sol 223,291
685621850-4,Gobernación de Pradera Alta 224,119
159996504-1,Dirección de Fuente Hermosa 225,252
358662961-2,Dirección de San Gabriel 226,409
311426265-2,Empresa de Servicios de Pueblo Nuevo 227,47
888610158-4,Gobernación de Nueva Esperanza 228,443
604661839-9,Consorcio de Loma Bella 229,351
622444721-4,Universidad de Pradera Alta 230,142
647154379-4,Escuela de Puerto Azul 231,235
124065965-1,Fundación de Nueva Esperanza 232,221
924593752-6,Corporación de Nueva Esperanza 233,150
793564651-2,Comisión de Puerto Azul 234,304
828073741-6,Centro Cultural de Pradera Alta 235,345
724342661-2,Fundación de Cascada 236,299
688680589-9,Agencia Regional de Río Claro 237,56
352909656-1,Gobernación de Villa Verde 238,51
438889937-0,Empresa de Servicios de Costa Serena 239,238
982507146-7,Comisión de Río Claro 240,60
254573875-8,Fundación de Pueblo Nuevo 241,225
751401051-1,Agencia Regional de Loma Bella 242,477
382825867-6,Instituto de Costa Serena 243,323
226609379-1,Corporación de Costa Serena 244,3
334191825-1,Empresa de Servicios de Puerto Azul 245,235
147859696-7,Escuela de Pueblo Nuevo 246,179
579249912-3,Empresa de Servicios de Pueblo Nuevo 247,123
412528669-9,Universidad de Costa Serena 248,217
278282742-5,Universidad de Nueva Esperanza 249,432
790507236-5,Consorcio de Cascada 250,210
767721903-2,Hospital de Santa Lucía 251,141
384279788-7,Gobernación de Pueblo Nuevo 252,138
858078361-2,Oficina Central de Valle del Sol 253,153
